#,Title,Description,Level,Compliant,Date Reviewed,Reviewed By,Comments,Jira Ticket,
Provide text alternatives for non-text content (e.g. images),,,,,,,,,
1.2.9,1.2.9 Audio-only (Live) (Level AAA),Provide a text alternative for live audio in audio-only content,Level AAA,Not Applicable,1/4/2024,Wes,The platform does not support live audio,,
Content can be presented in different ways (e.g. through a screen reader) without losing info or structure,,,,,,,,,
1.3.1,1.3.1 Info and Relationships (Level A),"Information, structure, and relationships can be programmatically determined",Level A,Partially Supports,1/5/2024,Paul MW,Minor issues with heading levels found by only 1 acessibility checker - marking as partially supports until resolved,"CORE-6313, CORE-6315",
1.3.2,1.3.2 Meaningful Sequence (Level A),The correct reading sequence can be programmatically determined,Level A,Supports,1/5/2024,Paul MW,,,
1.3.3,1.3.3 Sensory Characteristics  (Level A),"Do not rely solely on sensory characteristics of components such as shape, size, visual location, orientation, or sound",Level A,Supports,1/5/2024,Paul MW,,,
1.3.4,1.3.4 Orientation (Level AA 2.1 and 2.2),"Content can be presented in both portrait and landscape orientations, without losing functionality or meaning.",Level AA,Supports,1/5/2024,Paul MW,,,
1.3.5,1.3.5 Identify Input Purpose (Level AA 2.1 and 2.2),"For text input elements, the autocomplete attribute should be in place to let the user know what kind of data is expected to be entered.",Level AA,Supports,1/5/2024,Paul MW,,,New Updated criteria for 2.1
1.3.6,1.3.6 Identify Purpose (Level AAA 2.1 and 2.2),"The type and purpose of User Interface components, icons, and regions should be identified.",Level AAA,Not Evaluated,,,,,
Make sure content is readable and the foreground contrasts sufficiently with the background,,,,,,,,,
1.4.1,1.4.1 Use of Color (Level A),Color is not used as the only visual means of conveying info,Level A,Supports,1/4/2024,Wes,,,
1.4.2,1.4.2 Audio Control (Level A),"Audio can be paused and stopped, or the audio volume can be changed",Level A,Supports,1/5/2024,Paul MW,,,
1.4.3,1.4.3 Contrast (Minimum) (Level AA),Text has enough contrast with the background (contrast ratio 4:5:1 for small text and 3:1 for large text),Level AA,Supports,1/4/2024,Wes,depend on customer chosen color - authoring system will warn if contrast ratio exceeds standards. PMW - note discrepancies found in JIRA tickets opposite.,"CORE-6313, CORE-6314, CORE-6315",
1.4.4,1.4.4 Resize text (Level AA),Text can be enlarged up to 200% without the use of assistive technology (screen magnifiers),Level AA,Supports,1/5/2024,Paul MW,,,
1.4.5,1.4.5 Images of Text (Level AA),"Text is used rather than images of text, except where the presentation of text is essential, such as in logos",Level AA,Supports,1/4/2024,Wes,Content author must adhere to standard,,
1.4.6,1.4.6 Contrast (Enhanced)  (Level AAA),Enhanced contrast: Text has enough contrast with the background (contrast ratio 7:1 for small text and 4:5:1 for large text),Level AAA,Supports,1/4/2024,Wes,depend on customer chosen color - authoring system will warn if contrast ratio exceeds standards,,
1.4.7,1.4.7 Low or No Background Audio (Level AAA),"Low or no background audio, or background audio can be turned off",Level AAA,Supports,1/5/2024,Paul MW,,,
1.4.8,1.4.8 Visual Presentation (Level AAA),"Various visual presentation enhancements including selectable colors, no justified text",Level AAA,Partially Supports,1/4/2024,Wes,Available via Accessibe overlay solution,,
1.4.9,1.4.9 Images of Text (No Exception) (Level AAA),"Images of text are used only for decoration or where the presentation of text is essential, such as in logos",Level AAA,Supports,1/4/2024,Wes,Content author must adhere to standard,,
1.4.10,1.4.10 Reflow (Level AA 2.1 and 2.2),Content should be presented without loss of information or functionality when users adjust the viewport size.,Level AA,Supports,1/5/2024,Paul MW,,,
1.4.11,1.4.11 Non-text Contrast (Level AA 2.1 and 2.2),"The contrast between user interface components and their background can be at least 3:1 for graphics that are essential for understanding the content, except for large text.",Level AA,Supports,1/4/2024,Wes,Content author must adhere to standard,,
1.4.12,1.4.12 Text Spacing (Level AA 2.1 and 2.2),"In content that can be zoomed up to 200% without losing content or functionality, the spacing of text can be adjusted, and the user can read the text without requiring assistive technology.",Level AA,Supports,1/5/2024,Paul MW,,CORE-6033,
1.4.13,1.4.13 Content on Hover or Focus (Level AA 2.1 and 2.2),"When any content is displayed on hover or focus, the content can be dismissed by the user without moving the pointer, and it doesn’t block additional content from being displayed.",Level AA,Not Applicable,1/4/2024,Wes,We don't display content this way,,
Make all functionality available from a keyboard,,,,,,,,,
2.1.1,2.1.1 Keyboard (Level A),"All functionality is available from a keyboard, except for tasks such as drawing",Level A,Supports,1/5/2024,Paul MW,,"AV2-1188  AV2-1189  AV2-1190
AV2-1191  AV2-1197  AV2-1198
AV2-1199  AV2-1202",
2.1.2,2.1.2 No Keyboard Trap (Level A),The user can use the keyboard to move through page elements and is not trapped on a particular element,Level A,Supports,1/5/2024,Paul MW,,,
2.1.3,2.1.3 Keyboard (No Exception) (Level AAA),All functionality is available from a keyboard,Level AAA,Not Evaluated,,,,,
2.1.4,2.1.4 Character Key Shortcuts (Level A 2.1 and 2.2),"Keyboard shortcuts using only letter, punctuation, number, or symbol characters can be remapped or turned off to avoid conflicts with user agent functionality.",Level A,Supports,1/5/2024,Paul MW,We don't have single key shortcuts,,
Give users enough time to read and use content,,,,,,,,,
2.2.1,2.2.1 Timing Adjustable (Level A),Users are warned of time limits shorter than 20 hours and time limits can be turned off or extended,Level A,Supports,1/5/2024,Paul MW,We don't have time based UI elements,,
2.2.2,"2.2.2 Pause, Stop, Hide (Level A)","Users can stop, pause or hide moving, blinking, scrolling or auto-updating information",Level A,Supports,1/5/2024,Paul MW,,,
2.2.3,2.2.3 No Timing (Level AAA),"Time is not an essential part of any event or activity, except for real-time events and non-interactive synchronized audio/video",Level AAA,Supports,1/5/2024,Paul MW,,,
2.2.4,2.2.4 Interruptions (Level AAA),"Interruptions can be postponed or suppressed by the user, except those involving an emergency",Level AAA,Not Evaluated,,,,,
2.2.5,2.2.5 Re-authenticating (Level AAA),"When an authenticated session expires and the user has to re-authenticate, the user can continue without loss of data",Level AAA,Not Evaluated,,,,,
2.2.6,2.2.6 Timeouts (Level AAA 2.1 and 2.2),"Users are warned of any loss of data that could occur if the user is inactive, unless that data is preserved for more than 20 hours.",Level AAA,Not Evaluated,,,,,
2.2.6,,"If an authenticated session has a timeout, the user is warned with the time remaining and given the option to extend the session.",Level AAA,Not Evaluated,,,,,
Do not use content that can cause seizures,,,,,,,,,
2.3.1,2.3.1 Three Flashes or Below Threshold (Level A),"No more than three flashes in a 1- second period, or the flashes are below the defined thresholds",Level A,Supports,1/5/2024,Paul MW,,,
2.3.2,2.3.2 Three Flashes (Level AAA),No more than three flashes in a 1- second period,Level AAA,Supports,1/5/2024,Paul MW,,,
2.3.3,2.3.3 Animation from Interactions (Level AAA 2.1 and 2.2),"Motion animation instigated by user interaction be disabled, unless the animation is essential to the functionality or information being conveyed.",Level AAA,Not Evaluated,,,,,
"Help users to navigate, find content, and determine where they are",,,,,,,,,
2.4.1,2.4.1 Bypass Blocks (Level A),"Users can bypass blocks of content that are repeated on multiple Web pages, such as navigation menus",Level A,Partially Supports,1/5/2024,Paul MW,Minor issues with heading levels found by only 1 acessibility checker - marking as partially supports until resolved,"AV2-1220, CORE-6312, CORE-6313, CORE-6315",
2.4.2,2.4.2 Page Titled (Level A),The page has a title describing its topic or purpose,Level A,Partially Supports,1/1/2024,Wes,,,
2.4.3,2.4.3 Focus Order (Level A),Users can tab through the elements of a page in a logical order,Level A,Supports,1/5/2024,Paul MW,,,
2.4.4,2.4.4 Link Purpose (In Context) (Level A),The purpose of each link can be determined from the link text or context,Level A,Supports,1/5/2024,Paul MW,,,
2.4.5,2.4.5 Multiple Ways (Level AA),"More than one way is available to navigate to other Web pages, such as a sitemap",Level AA,Supports,1/5/2024,Paul MW,,,
2.4.6,2.4.6 Headings and Labels (Level AA),"The headings and labels are clear and consistent, accurately describing the topic or purpose",Level AA,Supports,1/5/2024,Paul MW,,,
2.4.7,2.4.7 Focus Visible (Level AA),The page element with the current keyboard focus has a visible focus indicator,Level AA,Supports,1/5/2024,Paul MW,,,
2.4.8,2.4.8 Location (Level AAA),"Show the user's location within a set of Web pages, for instance by using a breadcrumb",Level AAA,Not Evaluated,,,,,
2.4.9,2.4.9 Link Purpose (Link Only) (Level AAA),The purpose of each link can be determined from the link text alone,Level AAA,Not Evaluated,,,,,
2.4.10,2.4.10 Section Headings (Level AAA),Section headings are used to organize the content,Level AAA,Not Evaluated,,,,,
2.4.11,2.4.11 Focus Not Obscured (Minimum) (Level AA 2.2 only),"Ensure when an item gets keyboard focus, it is at least partially visible.",Level AA,Supports,1/23/2024,Wes,Focused elements are not obscured,,
,2.4.12 Focus Not Obscured (Enhanced) (Level AAA 2.2 only),,Level AAA,,,,,,
,2.4.13 Focus Appearance (Level AAA 2.2 only),,Level AAA,,,,,,
Make it easier for users to operate functionality through various inputs beyond keyboard,,,,,,,,,
2.5.1,2.5.1 Pointer Gestures (Level A 2.1 and 2.2),"All operations must use simple gestures that need only a single touch or click. If more complex operations exist, a single touch or click alternative must be given.",Level A,Supports,1/5/2024,Paul MW,We can have issues with embed content from H5 for example.,,
2.5.2,2.5.2 Pointer Cancellation (Level A 2.1 and 2.2),"Allow users to recover from accidental or erroneous pointer input (touch screen taps, mouse clicks)",Level A,Supports,1/5/2024,Paul MW,,,
2.5.3,2.5.3 Label in Name (Level A 2.1 and 2.2),"For user interface components with visible text, ensure that the accessible name includes the visible text.",Level A,Supports,1/5/2024,Paul MW,,AV2-1221,
2.5.4,2.5.4 Motion Actuation (Level A 2.1 and 2.2),"Motion input (shaking, orientation change, tilting, etc.) must be accompanied by another means of input (such as a button)",Level A,Supports,1/5/2024,Paul MW,,,
2.5.5,2.5.5 Target Size (Enhanced) Level AAA(Added in 2.1),,Level AAA,,,,,,
2.5.6,2.5.6 Concurrent Input Mechanisms Level AAA(Added in 2.1),,Level AAA,,,,,,
2.5.7,2.5.7 Dragging Movements (AA),"For any action that involves dragging, provide a simple pointer alternative.",Level AA,Supports,1/23/2024,Wes,The app does not use dragging. The only part that can use dragging is file upload and there are click alternatives (actually dragging is the alternative to the primary click UI),,
2.5.8,2.5.8 Target Size (Minimum) (AA),Ensure targets meet a minimum size or have sufficient spacing around them.,Level AA,Supports,1/23/2024,Wes,The clickable elements in the app are all larger than 24 pixels,,
2.5.5,2.5.5 Target Size (Level AAA 2.1 and 2.2),"The size of the target area for pointer inputs can be at least 44 by 44 CSS pixels, except for situations where accuracy is essential.",Level AAA,Not Evaluated,,,,,
2.5.6,2.5.6 Concurrent Input Mechanisms (Level AAA 2.1 and 2.2),"Functions that can be operated by device motion or user motion can also be operated by user interface components and keypresses, except where the motion is essential for the function.",Level AAA,Supports,1/5/2024,Paul MW,we do not have this feature,,
2.5.7,2.5.7 Dragging Movements (Level AA 2.2 only),"The size of the target for pointer inputs (mouse, touchscreen) is at least 44 by 44 pixels",Level AAA,Not Evaluated,,,,,
2.5.8,2.5.8 Target Size (Minimum) (Level AA 2.2 only),"Web content does not restrict use of different input types (keyboard, mouse, touch screen, speech input, etc.) except where the restriction is essential",Level AAA,Not Evaluated,,,,,
Text should be readable and understandable,,,,,,,,,
3.1.1,3.1.1 Language of Page (Level A),Specify the language (e.g. English) of the Web page,Level A,Partially Supports,1/4/2024,Wes,"As a web app, it supports translation built into the browser. There is also direct support for UI element translation into several languages.",,
3.1.2,3.1.2 Language of Parts (Level AA),Specify the language (e.g. English) of each text phrase or passage that is in a language other than the default language specified for the entire Web page,Level AA,Partially Supports,1/4/2024,Wes,"As a web app, it supports translation built into the browser",,
3.1.3,3.2.3 Consistent Navigation (Level AA),"Provide definitions of idioms, jargon, and unusual terms and phrases",Level AAA,Supports,1/4/2024,Wes,Content author must adhere to standard,,
3.1.4,3.2.4 Consistent Identification (Level AA),Provide the expanded form of abbreviations,Level AAA,Supports,1/4/2024,Wes,Content author must adhere to standard,,
3.1.5,3.1.5 Reading Level (Level AAA),Provide a simplified version of text that requires an advanced level of understanding,Level AAA,Supports,1/4/2024,Wes,Content author must adhere to standard,,
3.1.6,3.1.6 Pronunciation (Level AAA),Provide the pronunciation of words where the meaning is unclear without knowing the correct pronunciation,Level AAA,Supports,1/4/2024,Wes,Content author must adhere to standard,,
Make Web pages appear and operate in predictable ways,,,,,,,,,
3.2.1,3.2.1 On Focus (Level A),"When a UI component receives focus, this does not trigger unexpected actions such as automatically submitting a form, opening a new window or switching focus to another element",Level A,Supports,1/5/2024,Paul MW,,,
3.2.2,3.2.2 On Input (Level A),"Changing the setting of a checkbox, radio button or other UI component does not trigger unexpected changes in context, such as causing significant changes to the page content or opening a new window",Level A,Partially Supports,1/5/2024,Paul MW,Errors found on AppV3,CORE-6313,
3.2.3,3.2.3 Consistent Navigation (Level AA),Navigation menus are in the same location and order on every Web page,Level AA,Supports,1/5/2024,Paul MW,,,
3.2.4,3.2.4 Consistent Identification (Level AA),UI components used across the Web site are identified consistently on every page,Level AA,Supports,1/5/2024,Paul MW,,,
3.2.5,3.2.5 Change on Request (Level AAA),"All unexpected changes in context, such as causing significant changes to the page content or opening a new window, are triggered by the user, or such unexpected changes in context can be turned off by the user",Level AAA,Not Evaluated,,,,,
3.2.6,3.2.6 Consistent Help (Level A 2.2 only),Consistent identification of components that have the same functionality across different Web pages can be programmatically determined.,Level AA,Supports,1/5/2024,Paul MW,,,
Help users to avoid and correct mistakes,,,,,,,,,
3.3.1,3.3.1 Error Identification (Level A),Input errors are clearly marked and described to the user,Level A,Supports,1/5/2024,Paul MW,,,
3.3.2,3.3.2 Labels or Instructions (Level A),Items requiring user input are clearly labeled or have clear instructions,Level A,Supports,1/5/2024,Paul MW,,,
3.3.3,3.3.3 Error Suggestion (Level AA),"When the user makes an input error, give suggestions for valid input",Level AA,Supports,1/5/2024,Paul MW,,,
3.3.4,"3.3.4 Error Prevention (Legal, Financial, Data) (Level AA)","For Web pages causes legal or financial commitments, input can be reviewed and corrected before final submission, and submissions can be reverted",Level AA,Not Applicable,1/4/2024,Wes,This platform is not intended for legal or financial commitments use,,
3.3.5,3.3.5 Help (Level AAA),Provide context-sensitive help,Level AAA,Not Evaluated,1/4/2024,Wes,,,
3.3.6,3.3.6 Error Prevention (All) (Level AAA),"Input can be reviewed and corrected before final submission, and submissions can be be reverted",Level AAA,Partially Supports,1/4/2024,Wes,Some submissions cannot easily be reverted by design,,
3.3.7,3.3.7 Redundant Entry (Level A 2.2 only),"Users can authenticate themselves in ways that are accessible to a variety of disabilities, such as providing alternatives to visual input or speech recognition.",Level A,Supports,1/4/2024,Wes,Login and authentication can be accomplished via LTI or magic link sent via email,,
3.3.8,3.3.8 Accessible Authentication (Minimum) (Level AA 2.2 only),"A cognitive function test (such as remembering a password or solving a puzzle) is not required for any step in an authentication process unless that step provides at least one of the following:

Alternative
Another authentication method that does not rely on a cognitive function test.
Mechanism
A mechanism is available to assist the user in completing the cognitive function test.
Object Recognition
The cognitive function test is to recognize objects.
Personal Content
The cognitive function test is to identify non-text content the user provided to the Web site.",Level AA,Supports,1/4/2024,Wes,Login and authentication can be accomplished via LTI or magic link sent via email,,
3.3.9,3.3.9 Accessible Authentication (Enhanced) (Level AAA 2.2 only),"A cognitive function test (such as remembering a password or solving a puzzle) is not required for any step in an authentication process unless that step provides at least one of the following:

Alternative
Another authentication method that does not rely on a cognitive function test.
Mechanism
A mechanism is available to assist the user in completing the cognitive function test.",Level AAA,Supports,1/4/2024,Wes,Login and authentication can be accomplished via LTI or magic link sent via email,,
Maximize compatibility with assistive technologies (such as screen readers) and future browsers,,,,,,,,,
4.1.1,"4.1.1 Parsing (Level A)
 WCAG 2.0 and 2.1 – Always answer ‘Supports’
 WCAG 2.2 (obsolete and removed) - Does not apply","Use valid, error-free HTML, including unique (non-duplicate) element IDs",Level A,Partially Supports,1/5/2024,Paul MW,"Minor errors found, does not affect usage but getting resolved, marked as partially supports until then","CORE-6312, CORE-6314, CORE-6315",
4.1.2,"4.1.2 Name, Role, Value (Level A)","For all UI components, the name, value and role can be programmatically determined",Level A,Partially Supports,1/5/2024,Paul MW,"Minor errors found, does not affect usage but getting resolved, marked as partially supports until then",CORE-6314,
4.1.3,4.1.3 Status Messages (Level AA 2.1 and 2.2),Status Messages must be available to AT such as screen readers. This does not include context changes (e.g. alert or dialogs),Level AA,Supports,1/5/2024,Paul MW,,,
4.1.3,,"Status messages conveyed through programmatically determined roles, states, or properties can be programmatically determined.",Level AA,Supports,1/5/2024,Paul MW,,,
4.1.4,,"Content can be resized up to 400% without loss of content or functionality, except for images of text, which can be resized up to 200%.",Level AA,Supports,1/4/2024,Wes,,CORE-6033,
4.1.5,,"If the purpose of an image is to convey text, the text is also provided in the content or is programmatically determined.",Level AA,Supports,1/5/2024,Wes,,,
4.1.6,,"Text can be resized up to 200% without requiring the user to scroll horizontally, and without using assistive technology.",Level AA,Supports,1/6/2024,Wes,,CORE-6033,
4.1.7,,"Content that appears on hover or focus can be dismissed by the user without causing any additional content to appear or disappear, and without requiring the user to move the pointer.",Level AAA,Supports,1/7/2024,Wes,,,
4.1.8,,The content is presented in different viewports without losing information or functionality.,Level AA,Supports,1/8/2024,Wes,,,
